id;device_id;device_name;device_type;device_desc;device_status;mqtt_server_name;mqtt_server_topic
1;systemic;1080p;system-worthy;Soap Qatar USB;Graphical Money;Versatile;bandwidth
2;Executive;Lead Leu;Dollar;Product Borders distributed;silver;Avon global Drives;Central
3;orchestrate;robust transmitting;experiences;Pizza;sky Credit multi-byte;Account;Auto
4;Terrace Human parse;California Human Washington;Forward Uzbekistan bus;Nevada;fault-tolerant Technician;Handcrafted value-added Soft;emulation
5;port Fantastic Gabon;interface;Hat;Shilling B2C group;compressing online virtual;Producer withdrawal;virtual
6;Zimbabwe Borders Forward;SAS;viral Rustic;bypass;one-to-one experiences interface;payment Sausages markets;Supervisor Facilitator
7;one-to-one Organized panel;scalable Bedfordshire invoice;virtual copying;Awesome transmit Computers;metrics Supervisor facilitate;Bacon;Idaho deposit
8;hack New Account;impactful;turquoise Mount Direct;Account index;mint;Licensed foreground red;solution-oriented Berkshire Centralized
9;Turkmenistan;York;redundant indexing;withdrawal info-mediaries;Creative;modular;Function-based JBOD Operations
10;Cambridgeshire Arkansas Account;Inlet;Legacy;models;Frozen Facilitator;Tasty Plastic parsing;Awesome
