id;home_id;home_desc;home_address;last_update
1;blue deposit Shoes;Lead black mesh;Borders Buckinghamshire Kazakhstan;Buckinghamshire
2;frictionless;client-driven Vanuatu HDD;hack;Movies Riel
3;Wall homogeneous Advanced;Configurable Brand;Borders navigate;policy Human
4;Chicken withdrawal;Home Buckinghamshire Rubber;Investment;Human
5;blue;Concrete indexing;Account grey JSON;capability Bike
6;Officer generating;Light;transmitter;Vatu users orange
7;magenta Missouri blue;Tanzania gold Accountability;holistic Nepal Networked;FTP Orchestrator Account
8;methodologies reboot;index multi-byte;sticky;Rustic Pizza Hat
9;Parkway auxiliary fuchsia;Cove haptic Borders;expedite;Anguilla
10;3rd Music;Car backing;matrix;Riyal Car
