id;loc_id;loc_name;loc_desc
1;Secured Program;the program Ghana;magnetic
2;Soft Colombia;installation International generating;Chief
3;connecting;Gold harness;neural
4;e-commerce Reverse-engineered Directives;Bedfordshire;Outdoors
5;pink;SCSI;Diverse
6;Fuerte Sports;17(E.U.A.-17) Frozen Venezuela;analyzer
7;JSON open-source e-services;Monaco Business-focused RAM;Designer Austria
8;Generic;Soft impactful Pataca;deposit alarm
9;fuchsia Leu;Account Movies Stream;Licensed Forward
10;connect Toys Assurance;teal;blockchains
